Label,Spectral Centroid Mean,Spectral Bandwidth Mean,RMS Mean,Zero-Crossing Rate Mean,Spectral Contrast Mean,Pitch Mean,Pitch Confidence Mean,Mel Spectrogram Mean,Mel Spectrogram Variance,Energy Mean
Angry,3045.124571,2983.929243,0.105857052,0.08457368,20.45290837,1780.051758,0.186614305,3.023071051,802.6378174,0.105857052
Angry,3192.424772,3190.966013,0.098978914,0.086286593,21.47075932,1429.659912,0.132492647,3.013168335,951.5097656,0.098978914
Neutral,2667.402429,2542.465368,0.103383914,0.08163805,21.58035067,1445.445068,0.116958305,3.579052925,1831.536865,0.103383914
Neutral,2339.18497,2418.014573,0.068300568,0.067108464,20.36731555,1531.009888,0.097475447,1.206014395,95.93717194,0.068300568
Neutral,2467.531579,2543.291537,0.074514106,0.067118851,20.57979946,1583.334961,0.106762722,1.869833112,370.8358765,0.074514106
Neutral,2612.699418,2603.120073,0.084116116,0.076718592,20.4982984,1440.08313,0.110157169,2.37596941,670.2290649,0.084116116
Neutral,2307.632598,2547.521623,0.05656793,0.060326009,20.47151739,1577.070923,0.070917435,1.007349253,101.1749496,0.05656793
Neutral,2263.038623,2452.436215,0.094212033,0.058104492,22.22513381,1091.233032,0.113176063,2.386788368,633.2263184,0.094212033
Neutral,2708.925814,2681.940152,0.068923928,0.078287424,20.30674358,1599.244019,0.089676857,1.618450046,267.1226807,0.068923928
Neutral,2323.787658,2436.125947,0.077208601,0.067311917,20.18763922,1260.031372,0.103178792,2.05417943,495.0815125,0.077208601
Neutral,2830.685386,2656.452631,0.056022923,0.085090684,20.12606634,1483.735596,0.069115818,1.347873449,485.1927185,0.056022923
Neutral,2605.728264,2654.052218,0.080101207,0.07403418,20.91020325,1529.150024,0.094132848,2.467234373,1416.32312,0.080101207
Neutral,2086.402559,2345.249641,0.076922044,0.05689261,20.63799108,1256.285767,0.11306192,1.940832853,256.9114685,0.076922044
Neutral,2057.898012,2317.932129,0.088711977,0.054182381,21.08348232,1309.253052,0.115979187,2.777200937,1401.106323,0.088711977
